candidate_id,module_path,artifact_selector,mapping_status,notes
RCM-01418,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-10210,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-09779,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08717,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-10463,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-06886,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08103,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-04970,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-05624,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-03669,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08299,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-09226,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-10600,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-02126,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-06192,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-09292,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01891,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-07766,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-10808,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01646,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-10405,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-07209,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-06503,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-03475,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-06398,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-07474,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08123,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-04726,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-02141,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01441,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01417,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01719,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-07793,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-09313,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-00276,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01916,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-02058,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-03970,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08894,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-02516,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-07299,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-06313,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-03568,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-07804,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-06665,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-05630,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01843,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01738,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-06610,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08512,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08355,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-10251,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08422,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-09024,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-02299,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-10732,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-07770,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-11073,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08056,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-06985,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-06102,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-02748,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-09080,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-05726,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-10470,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01265,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-10084,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-09019,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-04747,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-02865,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-07443,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
