candidate_id,module_path,artifact_selector,mapping_status,notes
RCM-00029,.,main,D1_VERIFIED_JAR,reproducible-build-maven-plugin-0.17.0.jar
RCM-00045,logback-core-db,main,D1_VERIFIED_JAR,logback-core-db-1.2.11.1.jar
RCM-00141,mariaDB4j,main,D1_VERIFIED_JAR,mariaDB4j-3.3.1.jar
RCM-01073,.,main,D1_VERIFIED_JAR,directory-maven-plugin-1.1.2.jar
RCM-01281,.,main,D1_VERIFIED_JAR,packageurl-java-1.4.1.jar
RCM-01341,.,main,D1_VERIFIED_JAR,maven-turbo-builder-1.0.jar
RCM-01378,.,main,D1_VERIFIED_JAR,spotbugs-maven-plugin-4.7.3.3.jar
RCM-01420,cosmos-osgi-runtime,main,D1_VERIFIED_JAR,cosmos-osgi-runtime-0.5.0.jar
RCM-01434,.,main,D1_VERIFIED_JAR,eclipse-settings-maven-plugin-0.3.0.jar
RCM-02543,.,main,D1_VERIFIED_JAR,jwsacruncher-2.2.5.jar
RCM-02631,plugin3,main,D1_VERIFIED_JAR,checksum-plugin3-0.1.0.jar
RCM-02653,core,main,D1_VERIFIED_JAR,core-0.1.2.jar
RCM-02733,context,main,D1_VERIFIED_JAR,context-2.4.45.jar
RCM-03010,toolrunner,main,D1_VERIFIED_JAR,toolrunner-0.2.0.jar
RCM-04368,metrics-okhttp,main,D1_VERIFIED_JAR,metrics-okhttp-0.5.0-rc.1.jar
RCM-04493,.,main,D1_VERIFIED_JAR,unexepack-0.1.1.jar
RCM-04656,.,main,D1_VERIFIED_JAR,curator-kubernetes-ensemble-provider-0.3.1.jar
RCM-05001,.,main,D1_VERIFIED_JAR,micronaut-maven-plugin-3.4.0-RC1.jar
RCM-05634,.,main,D1_VERIFIED_JAR,nodejs-maven-plugin-3.0.6.jar
RCM-05727,.,main,D1_VERIFIED_JAR,clocky-0.4.16.jar
RCM-05876,.,main,D1_VERIFIED_JAR,bitcoin-commons-0.2.0.jar
RCM-06402,jax-rs.example,main,D1_VERIFIED_JAR,aries-jaxrs-whiteboard-example-connect.jar
