candidate_id,module_path,artifact_selector,mapping_status,notes
RCM-07217,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-05899,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-06809,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-05436,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-09188,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-10072,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-01209,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-09029,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-04276,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-09676,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-07392,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-01483,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-10228,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-01169,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-02151,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-07075,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-01559,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-08968,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-02526,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-03801,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-07031,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-07502,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-10914,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-04387,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-10446,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-07820,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-06525,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-06263,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-10565,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-10481,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-04869,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-02733,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-08833,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-06692,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-08664,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-01684,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-00183,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-03211,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-05702,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-00215,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-07203,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-04231,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-10727,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-06669,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-09012,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-08826,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-09417,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-09452,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-06972,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-10471,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-09471,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-11130,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-00389,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-09476,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-00708,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-01235,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-07309,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-04861,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-06468,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-00039,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-09086,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-02414,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-05773,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-05916,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-00434,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-08097,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-10151,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-07348,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-10294,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-10804,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-06557,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-10118,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-01281,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-02653,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-01278,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-04098,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-02184,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-07489,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-09136,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-07229,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-09997,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-07208,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-01457,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-08050,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-02143,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-02985,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-00129,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-09949,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-02093,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-01181,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-05502,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-02805,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-10415,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-00916,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-09122,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-08000,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-03479,.,auto,PROVISIONAL_ROOT,Root module pending build validation
RCM-06828,.,auto,PROVISIONAL_ROOT,Root module pending build validation
