candidate_id,module_path,artifact_selector,mapping_status,notes
RCM-00039,logback-access-common,main,D1_VERIFIED_JAR,logback-access-common-2.0.4.jar
RCM-00129,.,main,D1_VERIFIED_JAR,reload4j-1.2.18.5.jar
RCM-00183,mrm-servlet,main,D1_VERIFIED_JAR,mrm-servlet-1.4.2.jar
RCM-00215,.,main,D1_VERIFIED_JAR,jackson-annotations-2.17.2.jar
RCM-00389,protobuf,main,D1_VERIFIED_JAR,jackson-dataformat-protobuf-2.20.2.jar
RCM-00434,csv,main,D1_VERIFIED_JAR,jackson-dataformat-csv-2.20.1.jar
RCM-01169,.,main,D1_VERIFIED_JAR,jakarta-jms-adapter-0.1.0.jar
RCM-01181,.,main,D1_VERIFIED_JAR,jfr-jmstemplate-3.0.0.jar
RCM-01235,java-io-base,main,D1_VERIFIED_JAR,java-io-base-0.0.32.jar
RCM-01281,.,main,D1_VERIFIED_JAR,packageurl-java-1.4.1.jar
RCM-01559,.,main,D1_VERIFIED_JAR,common-dao-1.0.47.jar
RCM-01684,.,main,D1_VERIFIED_JAR,gcp-secretmanager-maven-plugin-1.0.0-beta.jar
RCM-02526,jdplus-incubator-desktop/jdplus-stl-desktop-plugin,main,D1_VERIFIED_JAR,jdplus-stl-desktop-plugin-2.2.0.jar
RCM-02653,core,main,D1_VERIFIED_JAR,core-0.1.2.jar
RCM-02733,context,main,D1_VERIFIED_JAR,context-2.4.45.jar
RCM-02805,plugin3,main,D1_VERIFIED_JAR,nisse-plugin3-0.4.5.jar
RCM-02985,toolbox,main,D1_VERIFIED_JAR,toolbox-0.3.2.jar
RCM-03801,avaje-sigma,main,D1_VERIFIED_JAR,avaje-sigma-1.0.jar
RCM-05702,fusion-processor,main,D1_VERIFIED_JAR,fusion-processor-1.0.25.jar
RCM-05773,.,main,D1_VERIFIED_JAR,oras-java-sdk-0.2.8.jar
RCM-05899,.,main,D1_VERIFIED_JAR,jdbc-url-parser-0.1.0.jar
RCM-05916,.,main,D1_VERIFIED_JAR,formatter-maven-plugin-2.26.0.jar
RCM-06263,.,main,D1_VERIFIED_JAR,hsac-fitnesse-plugin-1.33.0.jar
RCM-06557,.,main,D1_VERIFIED_JAR,commons-text-1.14.0.jar
RCM-06669,cxf-xjc-plugin,main,D1_VERIFIED_JAR,cxf-xjc-plugin-3.3.4.jar
RCM-06692,scim-server,main,D1_VERIFIED_JAR,scim-server-1.0.0-M1.jar
RCM-06972,.,main,D1_VERIFIED_JAR,log4j-jmx-gui-2.22.0.jar
RCM-07031,maven-archetype-plugin,main,D1_VERIFIED_JAR,maven-archetype-plugin-3.2.0.jar
RCM-07075,doxia-site-model,main,D1_VERIFIED_JAR,doxia-site-model-2.0.0-M8.jar
RCM-07203,.,main,D1_VERIFIED_JAR,maven-assembly-plugin-3.6.0.jar
RCM-07217,.,main,D1_VERIFIED_JAR,maven-checkstyle-plugin-3.3.0.jar
RCM-07229,.,main,D1_VERIFIED_JAR,maven-clean-plugin-4.0.0-beta-2.jar
RCM-07309,.,main,D1_VERIFIED_JAR,maven-invoker-plugin-3.6.0.jar
RCM-07348,.,main,D1_VERIFIED_JAR,maven-jlink-plugin-3.2.0.jar
RCM-07392,.,main,D1_VERIFIED_JAR,maven-rar-plugin-3.1.0.jar
RCM-07502,maven-plugin-tools-generators,main,D1_VERIFIED_JAR,maven-plugin-tools-generators-3.6.4.jar
RCM-07820,.,main,D1_VERIFIED_JAR,nifi-nar-maven-plugin-2.2.0.jar
RCM-08000,protonj2,main,D1_VERIFIED_JAR,protonj2-1.0.0-M11.jar
RCM-08097,.,main,D1_VERIFIED_JAR,jspc-maven-plugin-2.3.4.jar
RCM-08664,.,main,D1_VERIFIED_JAR,scriptingbundle-maven-plugin-0.4.0.jar
RCM-09012,mrm-servlet,main,D1_VERIFIED_JAR,mrm-servlet-1.5.0.jar
RCM-09452,.,main,D1_VERIFIED_JAR,glassfishbuild-maven-plugin-4.1.0.jar
RCM-09997,.,main,D1_VERIFIED_JAR,jblake2-0.5.jar
RCM-10072,.,main,D1_VERIFIED_JAR,metricshub-connector-maven-plugin-1.0.11.jar
RCM-10228,.,main,D1_VERIFIED_JAR,mybatis-thymeleaf-1.0.4.jar
RCM-10415,.,main,D1_VERIFIED_JAR,jflat-1.0.01.jar
RCM-10446,.,main,D1_VERIFIED_JAR,sentry-maven-skin-6.6.01.jar
RCM-10471,.,main,D1_VERIFIED_JAR,vcenter-1.0.00.jar
RCM-10481,.,main,D1_VERIFIED_JAR,wmi-1.0.02.jar
RCM-10565,.,main,D1_VERIFIED_JAR,nexus-format-archetype-1.0.74.jar
RCM-10727,.,main,D1_VERIFIED_JAR,openlayers-8.2.0.jar
RCM-10804,.,main,D1_VERIFIED_JAR,webjars-locator-0.50.jar
