candidate_id,module_path,artifact_selector,mapping_status,notes
RCM-10638,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10726,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06509,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06909,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07273,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-03216,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01182,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06971,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06957,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01215,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06791,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-05727,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01193,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07107,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06720,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10787,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-05001,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07697,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06025,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10104,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-05296,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01225,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-03842,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06293,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-05609,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-02315,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-02148,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06062,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-04149,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10386,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-05325,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01685,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01180,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-05373,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-04368,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-08138,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-04656,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
