candidate_id,module_path,artifact_selector,mapping_status,notes
RCM-00029,.,main,D1_VERIFIED_JAR,reproducible-build-maven-plugin-0.17.0.jar
RCM-00045,logback-core-db,main,D1_VERIFIED_JAR,logback-core-db-1.2.11.1.jar
RCM-00141,mariaDB4j,main,D1_VERIFIED_JAR,mariaDB4j-3.3.1.jar
RCM-00474,.,main,D1_VERIFIED_JAR,jackson-dataformat-xml-2.19.1.jar
RCM-00611,jsr-353,main,D1_VERIFIED_JAR,jackson-datatype-jsr353-2.19.0-rc2.jar
RCM-00800,.,main,D1_VERIFIED_JAR,java-uuid-generator-4.2.0.jar
RCM-00924,displaytag,main,D1_VERIFIED_JAR,displaytag-2.5.2.jar
RCM-01073,.,main,D1_VERIFIED_JAR,directory-maven-plugin-1.1.2.jar
RCM-01143,.,main,D1_VERIFIED_JAR,sitemesh-2.5.2.jar
RCM-01178,.,main,D1_VERIFIED_JAR,jfr-jdbc-0.5.0.jar
RCM-01180,.,main,D1_VERIFIED_JAR,jfr-jdbctemplate-3.0.0.jar
RCM-01182,.,main,D1_VERIFIED_JAR,jfr-maven-extension-0.2.0.jar
RCM-01186,.,main,D1_VERIFIED_JAR,memoryfilesystem-junit-provider-2.0.1.jar
RCM-01214,.,main,D1_VERIFIED_JAR,java-console-properties-1.4.1.jar
RCM-01225,java-desktop-util-swing,main,D1_VERIFIED_JAR,java-desktop-util-swing-2.4.0.jar
RCM-01341,.,main,D1_VERIFIED_JAR,maven-turbo-builder-1.0.jar
RCM-01344,demo/demo-maven-junit-platform-junit4-boot24,main,D1_VERIFIED_JAR,demo-maven-junit-platform-junit4-boot24-0.14.jar
RCM-01347,test-distribution-maven-plugin,main,D1_VERIFIED_JAR,test-distribution-maven-plugin-0.10.jar
RCM-01361,.,main,D1_VERIFIED_JAR,env-config-1.9.0.jar
RCM-01378,.,main,D1_VERIFIED_JAR,spotbugs-maven-plugin-4.7.3.3.jar
RCM-01420,cosmos-osgi-runtime,main,D1_VERIFIED_JAR,cosmos-osgi-runtime-0.5.0.jar
